Trial,Stim_Fast_sub001,Stim_Fast_sub002,Stim_Fast_sub003,Stim_Fast_sub004,Stim_Fast_sub005,Stim_Fast_sub006,Stim_Slow_sub001,Stim_Slow_sub002,Stim_Slow_sub003,Stim_Slow_sub004,Stim_Slow_sub005,Stim_Slow_sub006,Recovery_Fast_sub001,Recovery_Fast_sub002,Recovery_Fast_sub003,Recovery_Fast_sub004,Recovery_Fast_sub005,Recovery_Fast_sub006,Recovery_Slow_sub001,Recovery_Slow_sub002,Recovery_Slow_sub003,Recovery_Slow_sub004,Recovery_Slow_sub005,Recovery_Slow_sub006
11,575.781141636916,-213.884995760645,73.3634752551493,216.616892895543,237.791127012033,63.6144853853366,-75.6348446035663,-280.232417440494,-111.146874947205,898.575107466234,-839.592736662034,-682.020691464383,1275.57328744698,297.66056166429,313.563260866201,48.7187802177359,-853.752377084905,995.919931238927,-617.808839779596,-724.073022391159,-203.423903144504,-142.10773661131,-869.17989014059,-985.147908460096
12,385.873794203654,-55.600132755148,19.5228398460854,-32.5422387976205,578.773184856334,142.7114146754,104.985134459548,-255.687581490904,-97.323969565231,769.50100450608,-939.228054933139,-580.664971245892,1109.12824118493,101.208363945119,149.349886108607,657.514241758515,-1030.19892464526,1120.49942475741,-616.903034254995,-799.894151047069,-420.624635821231,125.946290531312,-824.821212899134,-827.324490917197
13,465.658888992988,-233.833724407871,-160.861289567203,301.612060414329,90.4946184987007,190.219192587878,58.6005195689841,-289.184034878542,-155.994037073554,990.439897636788,-856.144345563209,-367.828935340058,1064.2759051337,157.083290563024,317.822410946599,280.249642950846,-831.541921375652,1034.93456037295,-562.478561039754,-656.847550690835,-392.561675317806,-543.263972769407,-702.794066377783,-491.351460355294
14,339.974743890693,-64.3603392450641,1.17385612300677,203.19105801602,492.426677748707,240.996550877006,242.133991119928,-123.734237738871,-134.022844227167,936.775896310264,-585.819070880369,-524.040038501889,974.115846495354,17.3703143325552,264.796318715452,408.978323968367,-670.149597707819,1180.64388449345,-620.264507398997,-654.053878518856,-384.159702335999,-323.586676758149,-510.136531322793,-130.997021662222
15,320.441426518207,-258.344704614629,-131.234775477927,281.122772689268,393.179291340195,212.473691166064,96.1461786485343,-196.940389614993,-277.645021493432,1317.09859740886,-847.324295684993,-663.584398421358,1159.65630943356,136.193337788198,322.088660602943,206.289814634205,-489.799065019508,1140.45733879233,-474.758380636263,-548.308893025478,-372.408820190567,-467.39711300917,-254.294307117378,54.8068431488246
16,330.934963564526,-123.81389140221,-14.7170841371126,24.8911879040534,427.804309436329,276.763274417086,258.657241221405,-196.418448993729,-255.261467326657,839.080831462088,-643.838083967399,-646.518762040848,910.374123033856,1.80202093560911,188.209256252133,507.993859830325,-678.551844016397,1328.22084033616,-425.622644865701,-543.308932630485,-477.694087331042,-5.67940490826095,-112.281176482811,448.471598678587
17,427.238303030997,-281.552476609836,-41.3656661650789,346.337145469164,123.654426432982,163.551862613622,173.819240126463,-234.225877639236,-342.366167574363,876.819131614067,-583.222407315956,-538.023364974808,990.302610567385,65.9517359129363,254.589294804142,197.100668122669,-578.886234357597,1102.75167641405,-418.499576974528,-693.633110728256,-304.397140708989,-253.110237188218,-127.735004306043,89.2753183120976
18,447.508481647053,-249.244035785091,200.542117191087,133.660894848034,386.589841964263,176.978325143506,178.934480387896,-202.883823701916,-375.525675928802,526.495365962513,-814.316303920739,-793.087173854279,995.18826026231,-81.3052359504163,0.428550447302314,490.005332739458,-582.623593464358,1161.98722785315,-253.692208438999,-688.690691601939,-261.816052870619,504.496203022522,-334.417157504834,119.56816136703
19,467.697083665641,-441.654902683811,69.9787717030977,222.464363489184,55.4580687383095,170.46795868955,45.4073281135456,-408.910821772398,-399.779054963294,395.361824881466,-1005.58853498602,-912.26891362189,929.777547852835,-33.070233597552,22.0581956192905,304.850984839272,-314.25850077887,1004.20216059398,-202.594695091681,-611.239816515314,-269.084670075874,353.732665334196,-534.904647183758,88.3770521226361
20,584.152024539594,-309.354443610905,225.338249128669,-38.5449492931903,-48.8636767013036,242.383948019663,-64.730843723657,-339.377867466123,-429.561620414676,112.313861686926,-1003.06758404544,-925.894597189979,789.648762188584,-175.285645693617,0.549112633934328,491.136042014788,-352.363404709058,966.4224100523,-245.119409775352,-700.678399322835,-324.086987019982,738.642753253973,-825.287574345519,-80.3018299905334
21,612.981147864881,-461.773035154927,64.6461019023318,123.756116059477,87.0312240255712,198.63597498567,-292.732118621292,-344.403001998269,-463.473461008423,203.29763387389,-1167.84259422256,-366.149946270847,773.266522745347,-125.115510248972,253.960802639245,151.506068665524,17.8080299473945,669.213658757989,-289.072027107834,-516.358564868975,-299.871080036305,360.80349942942,-1002.1529734322,-372.42156335961
