Trial,Stim_Fast_sub001,Stim_Fast_sub002,Stim_Fast_sub003,Stim_Fast_sub004,Stim_Fast_sub005,Stim_Fast_sub006,Stim_Slow_sub001,Stim_Slow_sub002,Stim_Slow_sub003,Stim_Slow_sub004,Stim_Slow_sub005,Stim_Slow_sub006,Recovery_Fast_sub001,Recovery_Fast_sub002,Recovery_Fast_sub003,Recovery_Fast_sub004,Recovery_Fast_sub005,Recovery_Fast_sub006,Recovery_Slow_sub001,Recovery_Slow_sub002,Recovery_Slow_sub003,Recovery_Slow_sub004,Recovery_Slow_sub005,Recovery_Slow_sub006
32,242.63364400542,-70.0121621402295,233.702574606556,-1395.75350674642,361.197744933685,709.403087206063,61.9445635592501,-514.76053155304,-274.267402303744,1787.41940365438,-2481.82340043248,-810.339997829371,2061.25498819498,-446.511014856459,527.545797723425,947.273117545728,-1099.77439475758,2408.84085807358,-429.378468293663,-1032.9139250466,-533.792919436411,2240.52093048896,-1892.61222951997,205.993301009066
33,582.598350509986,-308.092395782933,-32.0775547930816,-337.991806805312,100.983402559003,699.029268783926,11.8427749666953,-786.870881425519,-522.47579319034,997.350421316343,-2865.09530660395,-774.604208695265,1968.13861367528,-394.268732446177,645.301645677652,380.666726710846,-601.86547850545,2121.87041633204,-265.254710115354,-890.458478994444,-555.384748264918,1773.59692722288,-1746.3041173038,841.119042940161
34,1150.6296881658,-15.4488867466989,136.112608878203,-632.391527663205,319.592255910315,1027.70183312646,352.306575886838,-845.312987572156,-125.378006449408,1026.58752226917,-2695.88508591565,-1254.68455761122,1945.23189638161,-594.165403275078,560.23204713488,1453.28186184708,-867.316079085557,2629.4257088956,-292.775477116111,-857.792614637612,-653.381583485589,1821.76439547568,-2127.58089159067,1660.65490863932
35,715.622346051814,-249.67491469869,-309.589847011526,214.750744098228,484.995155008114,990.019858742649,457.882171341663,-644.93127876274,-235.064281771131,1217.73062985541,-2590.77628302985,-1145.73305228186,2065.16877351049,-421.425016331758,562.548758124306,1059.98353718886,-1132.7914144824,2550.68580886088,-415.889924824943,-803.733380875632,-952.174225011719,1642.11746184073,-2277.88033745629,542.121324089758
36,1329.77050008348,-151.818482816983,336.16654468965,-224.240336103067,835.167364678599,1162.94400420668,493.019929230913,-0.740272917939365,32.923013017351,662.185985548336,-2493.2466155209,-1621.78155885169,2107.73637067468,-750.366336619082,268.10718238694,1553.01861039643,-1861.44671182817,2469.73878457979,-505.856733776651,-866.967054856424,-1010.86080284345,1372.34514189111,-2858.46815641415,116.622973491663
37,1826.37103173383,-506.886640819956,304.604138677028,701.079333834552,223.802067839013,1187.65860973804,73.5936917959652,-133.679298138557,-15.6678873321944,1841.39138409051,-2543.49070393878,-1664.45060339437,2045.4241227376,-758.024402700991,200.442352056753,1600.44292233832,-1649.85007940938,2103.42948077335,-334.747995216806,-802.08693214198,-932.925210205052,623.69101652055,-3010.5815341369,-301.847644089109
38,1988.04907443306,-608.800818444067,617.642311492932,-217.732343329055,288.31256746778,1288.25486561931,215.432237262895,-17.0710500520699,253.493434416595,2377.33779128285,-2463.83029078609,-1591.50299965244,1895.0596036202,-1059.52421357256,418.814787366703,1600.84567534719,-2580.28700024288,2546.10037006866,-410.144137425699,-908.851044976877,-583.515467618148,558.458634975654,-3287.89848230694,-552.151925563297
39,1569.7125054161,-775.155215865823,499.20591145447,399.782866355779,-265.906761632909,1156.94913023806,202.232582224253,-165.973714408459,-113.592650496912,2285.18397725971,-2661.5834441769,-1454.0627704867,1976.76009438112,-805.520450078447,779.73924271995,598.786768632366,-2634.54654446879,2615.77288173902,-350.677260465182,-737.519240375583,-306.806279877051,38.3155528814932,-2943.16227766026,-866.961111244936
40,2016.31897718214,-611.311990251253,959.564646044316,434.096785303675,-325.017630570801,1116.87156456881,230.121332784927,-79.4959827035982,-44.1225880466454,1454.09056909076,-2680.9404967859,-1383.08539540582,1868.57531979336,-985.775949777785,705.092895097249,1058.47511747734,-2547.85827988659,2596.55038511897,-309.83477725041,-852.589542628925,52.6778660055206,-202.708663340076,-2505.38023674583,-821.003827140084
41,1289.40748120005,-784.43929774652,609.302344531025,832.237856194253,-607.755206101975,882.491511094503,407.056883814486,-455.092798965483,-377.902964793416,2039.83025356425,-2786.21667793388,-472.22207713635,1613.65387380254,-748.063057635033,880.352697409969,488.332957288829,-2151.80200208084,2743.9418997069,-328.918498849164,-829.389989738973,342.908638771066,45.2064712327901,-1634.82457707382,-379.620904718236
42,1153.68731587829,-661.496179745754,812.892462164335,403.43940351755,-169.886250857783,977.273497627893,753.765968029604,-281.014795447552,-405.981397394577,844.39645915624,-3023.15295040824,43.4760052445763,1737.05644807083,-1014.84597732328,897.140911619194,774.2901525833,-2330.53092303187,3121.17018598235,-488.491849909622,-924.582072359039,430.080164284854,861.608473427326,-1352.02578869268,-740.337399065288
43,791.055414236083,-478.371967742275,786.731893245393,1187.17460637094,-453.896227044179,667.550015716287,608.554886041436,-694.2443488268,-689.124388334177,1709.49054982827,-3232.35761894126,251.894192793223,2094.73795656083,-702.725541344666,774.595386027915,843.724270000939,-1973.11489366272,2650.17739035558,-507.42834637304,-732.512283087419,277.047378798687,716.398242811538,-955.343377576213,-864.095751082559
